제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate
대표님 진도가 너무 빨라요,순정,#fdf8f7,#f3ccc5,#cc9d9c,#967073,#423d44,0.4404496729651163,0.20470748546511627,0.15086755087209303,0.13569313226744187,0.06828215843023255
대표님 책임지세요,순정,#444b65,#f4edde,#c78f90,#341f28,#8f4c4f,0.25130813953488373,0.22512172965116278,0.17763535610465117,0.17399981831395347,0.17193495639534884
대표님 혼나볼래요,순정,#d5bdc3,#463b4b,#bd8a8a,#905250,#fce6e4,0.28573855377906976,0.20662245639534885,0.18166696947674418,0.17045058139534883,0.15552143895348838
"대표님, 사모님이 도망가요",순정,#faf8f6,#e3cec8,#7f616d,#c19b94,#463041,0.3720112645348837,0.2230277979651163,0.1703797238372093,0.1370875726744186,0.0974936409883721
"대표님, 오늘은 아니에요",순정,#edc5c4,#382b2e,#fdeeec,#d1938b,#84696a,0.23966024709302325,0.22944313226744187,0.1989625726744186,0.1720248909883721,0.15990915697674418
대표님은 나 아니면 안돼요,순정,#f3f3f3,#737493,#8caadf,#2b4a87,#d9c5c0,0.31719749273255815,0.18679324127906977,0.17398074127906976,0.16763989825581396,0.15438862645348836
대표님의 계획적인 사랑법,순정,#f8f3eb,#e1cfbc,#3e2c2b,#bd9976,#7a6150,0.4058357558139535,0.28777071220930234,0.10831577034883721,0.10065497819767442,0.09742278343023256
대표님의 독점적 사랑,순정,#bfa3cc,#350522,#692457,#7e5e9b,#5fd4fc,0.2918123183139535,0.22754814680232557,0.18499636627906976,0.17420966569767443,0.12143350290697674
대표님의 삐뚤어진 사랑,순정,#b3aebd,#a58695,#f5e9e6,#472a47,#825770,0.30738099563953486,0.2615107194767442,0.17814407703488372,0.13372274709302326,0.11924146075581395
대표님이 나만 편애해,순정,#eae9f7,#3f3f5a,#9f4d60,#d8bac2,#9d8199,0.4805950218023256,0.22853197674418604,0.12313771802325581,0.09625908430232558,0.07147619912790698
대표님이 날 사랑하게 되었다,순정,#f3e4e3,#d0a9b1,#5e3d4a,#b1797c,#696486,0.5348373909883721,0.14713208575581396,0.12267986918604651,0.09888808139534884,0.0964625726744186
"도망가지마, 내 사랑",순정,#f8f0e3,#aa9d90,#ddd1b6,#393020,#804d35,0.27141987645348836,0.2035737645348837,0.1928315770348837,0.1772292877906977,0.1549454941860465
두번째 첫사랑,순정,#f4d4b0,#fbf1e6,#e0a881,#594646,#a37666,0.2769940043604651,0.25988190406976747,0.18584938226744185,0.1732249273255814,0.10404978197674418
라이벌 동기의 그 사랑은 반칙,순정,#efe7df,#e0b6ab,#a87854,#523826,#fc6125,0.5443204941860466,0.16614462209302325,0.13298237645348837,0.11058684593023256,0.0459656613372093
마녀 따위 안 할래요,순정,#f9f7f5,#dfcab6,#a58288,#5e444b,#74f2fa,0.34857103924418603,0.20679596656976745,0.20244095203488371,0.19332939680232558,0.04886264534883721
마음의 목소리,순정,#f8f1ea,#2f2d2d,#dccdc6,#a59390,#735e5b,0.3732676235465116,0.3228833575581395,0.16909156976744186,0.09888535610465116,0.035872093023255815
맹주님 거둬주세요,순정,#f6e5f2,#6a5575,#a77691,#d7a5bf,#482f40,0.3676280886627907,0.21085029069767441,0.1662781613372093,0.1601735101744186,0.09506994912790698
멸문가의 하녀로 환생한 그녀,순정,#e8eff9,#acc4d4,#607592,#8d5c50,#eab5a1,0.43048964389534883,0.27792605377906976,0.13375,0.09882358284883722,0.05901071947674419
모연의 복수,순정,#ddd8dc,#d39d91,#617cb8,#99403c,#352f36,0.32008085029069766,0.2744404069767442,0.1680123546511628,0.12859465843023254,0.10887172965116279
