제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
돌아와줘,BL,#e1e1e7,#333046,#555d97,#78a2e1,#b79da3,0.2822451636904762,0.2813957093253968,0.186749751984127,0.14295324900793652,0.10665612599206349,돌아와줘.jpg
디기탈리스,BL,#101f37,#bbaa9c,#7e7c82,#3c4757,#f3ead8,0.487992931547619,0.15442708333333333,0.14761284722222223,0.14071800595238096,0.06924913194444444,디기탈리스.jpg
라이어 [BL],BL,#faefeb,#4c3d4b,#191319,#837276,#c6afb1,0.3251457093253968,0.2150328621031746,0.16973586309523808,0.1525545634920635,0.137531001984127,라이어 [BL].jpg
란덴과 사가,BL,#0b091b,#f6ddd0,#fefdfb,#f1bc79,#8f6040,0.33016493055555557,0.2541077628968254,0.18444010416666667,0.16691158234126985,0.06437562003968254,란덴과 사가.jpg
러브 포엠,BL,#f3f7f7,#686b64,#e4b3a1,#b28578,#27282e,0.3890376984126984,0.19482266865079365,0.16715339781746033,0.13740079365079366,0.11158544146825397,러브 포엠.jpg
럽미닥터(개정판),BL,#9ba5bf,#5d769f,#e6d0d2,#252742,#d29889,0.40492311507936507,0.22758866567460317,0.20903397817460317,0.10054253472222222,0.05791170634920635,럽미닥터(개정판).jpg
로미오의 순정,BL,#99a1cd,#536990,#f5e6d4,#2c395a,#e2c3a0,0.39935205853174605,0.24391741071428572,0.14033668154761905,0.11692088293650793,0.09947296626984127,로미오의 순정.jpg
록 어 바이 디어,BL,#eae7e8,#21272c,#424f5b,#607c99,#8db5cf,0.6413256448412699,0.13581969246031747,0.09610305059523809,0.07817150297619048,0.04858010912698413,록 어 바이 디어.jpg
마계에 핀 봄꽃,BL,#dbc1c3,#fbf2f1,#7e727e,#44353d,#c48c53,0.24833829365079366,0.23842385912698413,0.22377542162698413,0.20310329861111112,0.08635912698412698,마계에 핀 봄꽃.jpg
마도조사 [웹툰],BL,#271e1d,#5c423b,#f2e6d8,#857e7b,#c1aa9e,0.3512059771825397,0.19322606646825397,0.18254588293650795,0.17251984126984127,0.10050223214285714,마도조사 [웹툰].jpg
마스크 남자는 사랑하고 싶지 않은데,BL,#b6afa2,#edece5,#867566,#37302f,#c7db67,0.3064081101190476,0.2810918898809524,0.1914341517857143,0.13717447916666667,0.08389136904761904,마스크 남자는 사랑하고 싶지 않은데.jpg
메리 메모리,BL,#f4edf0,#d7c7c6,#a69190,#705c5c,#241718,0.6574404761904762,0.1332124255952381,0.12095424107142858,0.051553199404761905,0.036839657738095236,메리 메모리.jpg
메리 수,BL,#ddbcba,#faf7f2,#cc9c9c,#4f3c4f,#9b6b72,0.37923797123015873,0.2941747271825397,0.15185701884920635,0.09951636904761904,0.0752139136904762,메리 수.jpg
명령불복종,BL,#faf3df,#3d3533,#e2c58e,#8d7459,#e5c226,0.3769500248015873,0.21502046130952382,0.21458643353174603,0.14273003472222223,0.050713045634920635,명령불복종.jpg
모래성,BL,#f0e6d8,#fefdf7,#c0aba2,#8a7b7d,#4e4042,0.556023685515873,0.2236359126984127,0.12591455853174602,0.06005394345238095,0.0343718998015873,모래성.jpg
모어 댄 블루,BL,#fffefd,#f3e2d5,#c2b4b5,#9e686f,#482d34,0.4912109375,0.20791480654761904,0.1418371775793651,0.09987289186507936,0.059164186507936506,모어 댄 블루.jpg
묘한 그녀석,BL,#d7c5c9,#f8f3f2,#c09c9b,#a6545a,#41292e,0.3092602926587302,0.24241691468253967,0.16380518353174603,0.15571366567460318,0.12880394345238094,묘한 그녀석.jpg
무지한 나와 나쁜 짓,BL,#fdfbfa,#edd0c4,#5e373a,#c39e9c,#97686b,0.3031529017857143,0.2622860863095238,0.18546626984126985,0.13523065476190477,0.1138640873015873,무지한 나와 나쁜 짓.jpg
미로의 행진곡,BL,#e4dfdd,#4e3d3a,#ccad93,#a56858,#1b100d,0.3129712301587302,0.26845548115079365,0.2135137648809524,0.12702442956349205,0.07803509424603175,미로의 행진곡.jpg
바람이 머무는 자리,BL,#faede2,#deb4a1,#a06666,#403740,#860f0b,0.2814360119047619,0.2781312003968254,0.2154110863095238,0.17608196924603176,0.04893973214285714,바람이 머무는 자리.jpg
박배우X김남팬,BL,#fcf1e9,#323131,#9c8273,#070505,#d6bcb3,0.42550533234126986,0.18077256944444445,0.1466548859126984,0.12428695436507936,0.12278025793650793,박배우X김남팬.jpg
박쥐사육,BL,#3c0d0a,#faf9f8,#424e5a,#040101,#89756a,0.6396546378968254,0.1324404761904762,0.07829861111111111,0.07501240079365079,0.0745938740079365,박쥐사육.jpg
밥만 잘 사주는 이상한 이사님,BL,#fbf9f7,#9297b7,#565968,#101011,#d1aea0,0.4019438244047619,0.2179563492063492,0.20637710813492063,0.1046999007936508,0.06902281746031746,밥만 잘 사주는 이상한 이사님.jpg
배타적 연애금지구역,BL,#f9c3b6,#efebe8,#323533,#bbd3cb,#7d6e5d,0.28015579579685074,0.2753102303564685,0.22677114528353254,0.12966882415449604,0.0880940044086522,배타적 연애금지구역.jpg
별 셋짜리 식사를 합시다,BL,#fce4d8,#fbf6ef,#d6bdad,#ae877a,#745248,0.4530846974206349,0.27943018353174603,0.11003844246031746,0.09612165178571429,0.0613250248015873,별 셋짜리 식사를 합시다.jpg
별처럼 머나먼,BL,#f1e5d3,#0a92cb,#06457a,#b7b9b1,#647b7e,0.38490513392857145,0.19481026785714287,0.1753844246031746,0.16898871527777778,0.07591145833333333,별처럼 머나먼.jpg
보들보들,BL,#cadee1,#e29384,#fceadb,#8b5845,#9a96a8,0.44953497023809524,0.21882130456349205,0.19386470734126984,0.07448846726190476,0.0632905505952381,보들보들.jpg
