제목,카테고리,hex1,hex2,hex3,hex4,hex5,hex1rate,hex2rate,hex3rate,hex4rate,hex5rate,file_path
어쩌다 결혼,순정,#180f0c,#543a33,#985e4e,#f9e9dd,#d4a99a,0.33414425872093023,0.24658066860465117,0.18689771075581396,0.12991824127906976,0.10245912063953488,어쩌다 결혼.jpg
어쩌다 천생연분,순정,#f2eff5,#afbbbf,#778f99,#644560,#331d37,0.3050881177325581,0.1986954941860465,0.18633175872093025,0.1711700581395349,0.13871457122093023,어쩌다 천생연분.jpg
엇갈린 하룻밤,순정,#2a1b1e,#533b4e,#c8aea6,#806784,#dabfe5,0.3580514171511628,0.22836936773255814,0.21687954215116279,0.14145712209302325,0.055242550872093024,엇갈린 하룻밤.jpg
엉덩이가 잘못했네,순정,#f9f4f1,#e1dad7,#ccb1a0,#494c5e,#a9725d,0.30858829941860466,0.29787063953488374,0.17160519622093023,0.11119731104651162,0.11073855377906977,엉덩이가 잘못했네.jpg
에뷔오네(컬러판),순정,#e7e1dc,#a5afbd,#70819d,#b5e2ea,#41496c,0.3915806686046512,0.18876998546511628,0.16907430959302325,0.16140534156976744,0.08916969476744185,에뷔오네(컬러판).jpg
엘리오와 이베트,순정,#fcf2ef,#e7dbce,#c1ad9f,#0e0c0a,#635a54,0.4344967296511628,0.3297020348837209,0.09251453488372093,0.08864098837209303,0.054645712209302325,엘리오와 이베트.jpg
여우 아가씨의 연애일기,순정,#faf0ec,#dac0b4,#ab9389,#86625d,#5d2f25,0.36579124273255814,0.1793468386627907,0.17713935319767443,0.1557403706395349,0.12198219476744186,여우 아가씨의 연애일기.jpg
여제의 남자들,순정,#764a43,#b0303a,#3f1313,#d59377,#faecc8,0.3503079578488372,0.23858103197674418,0.22040606831395348,0.11166606104651162,0.0790388808139535,여제의 남자들.jpg
열화광비,순정,#f3c7c2,#6a484f,#ce838d,#fcf2f5,#c7494d,0.33896529796511626,0.2392578125,0.1774173328488372,0.12738553779069767,0.11697401889534884,열화광비.jpg
옆집남자,순정,#f7f2f0,#ddd0cf,#474150,#a49cac,#746877,0.3802970566860465,0.2247138444767442,0.16346293604651163,0.16014625726744186,0.07137990552325581,옆집남자.jpg
"오, 나의 황비님",순정,#ebe7f2,#c9b1cd,#ae6791,#3a377b,#5d86ce,0.27556050145348837,0.26038063226744185,0.19986918604651163,0.15945221656976744,0.1047374636627907,"오, 나의 황비님.jpg"
오늘 그가 돌아왔다,순정,#f3f4f7,#debeb1,#402e35,#9ee0fd,#a37772,0.5694867369186046,0.15161064680232558,0.09732467296511628,0.09458303052325581,0.08699491279069767,오늘 그가 돌아왔다.jpg
오늘부터 선배를 잊겠습니다,순정,#fdfcf9,#eddd98,#d88f54,#6e3b20,#363f77,0.7201916787790698,0.125555050872093,0.07474654796511628,0.05823310319767442,0.021273619186046512,오늘부터 선배를 잊겠습니다.jpg
오해로 시작된 사이,순정,#e5d8e1,#504c8d,#754655,#1f1516,#a18a9c,0.2731340843023256,0.23146802325581395,0.20143986191860466,0.14783793604651163,0.14612009447674418,오해로 시작된 사이.jpg
왕자님과 함께 완벽한 영애가 될 겁니다!,순정,#fdf7f2,#f7ceb4,#5a4a56,#d6a782,#a58164,0.30166424418604654,0.2326326308139535,0.1705859375,0.1576453488372093,0.1374718386627907,왕자님과 함께 완벽한 영애가 될 겁니다!.jpg
외과의사 엘리제,순정,#f8f3ed,#f4e2b6,#caae96,#937864,#4c3629,0.4757376453488372,0.28119912790697676,0.11583030523255813,0.08058866279069768,0.04664425872093023,외과의사 엘리제.jpg
우리 내일 이혼해요,순정,#41313f,#657795,#ebe4df,#964c32,#bea483,0.3447847020348837,0.2028406613372093,0.16726835029069767,0.15120185319767443,0.13390443313953487,우리 내일 이혼해요.jpg
우리 아빠가 대표님이래요,순정,#fcf5f4,#765769,#eacccb,#ad839a,#402434,0.3667750726744186,0.27184502180232556,0.22784792877906976,0.086875,0.04665697674418605,우리 아빠가 대표님이래요.jpg
우리는 미디움 레어,순정,#fdeb17,#f7e8ed,#231c23,#81563f,#cf9398,0.3109175145348837,0.29410519622093023,0.2663144985465116,0.08155614098837209,0.047106649709302326,우리는 미디움 레어.jpg
"운명의 짝, 거절하겠습니다",순정,#f1ebe9,#dfc0b7,#ab8e7e,#5b5153,#f25077,0.5008139534883721,0.1733766351744186,0.11626180959302325,0.1101389898255814,0.09940861191860464,"운명의 짝, 거절하겠습니다.jpg"
웨딩 임파서블,순정,#fbf2ec,#352b2a,#615459,#e5c2bd,#8e8f96,0.36481104651162793,0.23078034156976746,0.17371911337209303,0.13217114825581394,0.09851835029069768,웨딩 임파서블.jpg
웬수같은 내남편,순정,#eacfbd,#3b1010,#c7907b,#975549,#4d4566,0.23683412063953488,0.21576217296511627,0.21115734011627907,0.17456031976744185,0.1616860465116279,웬수같은 내남편.jpg
위험한 추억,순정,#393135,#685a64,#f6e5e3,#be93a3,#37549c,0.4014471293604651,0.23122456395348837,0.1638562863372093,0.1380795784883721,0.06539244186046511,위험한 추억.jpg
이 결혼은 안되나요,순정,#fde0cd,#181412,#fe1b3e,#e69696,#6d5b5d,0.3659529433139535,0.21456758720930233,0.2004405886627907,0.1308139534883721,0.08822492732558139,이 결혼은 안되나요.jpg
이번 생은 악녀로 살겠습니다,순정,#121a1c,#3a2d35,#754544,#e4cfcc,#998a9b,0.3962327398255814,0.2611764171511628,0.15874091569767443,0.11189316860465116,0.07195675872093023,이번 생은 악녀로 살겠습니다.jpg
이번 생인 뺏기지 않아요,순정,#f3e2e9,#542e31,#a5372b,#dbafbc,#cc745d,0.31811046511627905,0.22021348110465117,0.1855950218023256,0.17221838662790698,0.10386264534883721,이번 생인 뺏기지 않아요.jpg
이번에야말로 날 함락시켜봐,순정,#fae6ea,#5f607c,#32344e,#b4a1aa,#a54f3b,0.6578751816860465,0.1480768531976744,0.10835846656976744,0.06755087209302325,0.018138626453488373,이번에야말로 날 함락시켜봐.jpg
이세계에서 어쩌다 왕국 간호사가 되었습니다,순정,#f7f3f2,#4d394a,#d8c1b8,#7c7a94,#c28a5d,0.3698028706395349,0.2537172965116279,0.1562045784883721,0.13981013808139534,0.08046511627906977,이세계에서 어쩌다 왕국 간호사가 되었습니다.jpg
이율 같지 않은 이유,순정,#dfd2d0,#f2f7f3,#443844,#c59ea2,#8a6e6f,0.3566206395348837,0.23002361918604652,0.1859093386627907,0.1446702398255814,0.08277616279069767,이율 같지 않은 이유.jpg
이혼은 어렵습니다!,순정,#f5e0d9,#33333b,#fefdfd,#c1979b,#ac3434,0.2946702398255814,0.24436500726744187,0.17127271075581396,0.14745094476744186,0.14224109738372093,이혼은 어렵습니다!.jpg
이혼해줄래요,순정,#f6ede3,#413237,#c2aaa3,#64637c,#b46545,0.313155886627907,0.22818949854651163,0.21398255813953487,0.1693877180232558,0.0752843386627907,이혼해줄래요.jpg
잃어버린 기억의 비밀,순정,#faf0f5,#ecc6d1,#37364d,#d196a1,#905e73,0.38819858284883724,0.2212082122093023,0.16734193313953488,0.12380087209302326,0.09945039970930232,잃어버린 기억의 비밀.jpg
입술로 막다,순정,#fbdfe2,#fefbfa,#6b5c69,#453948,#cfaaac,0.3268704578488372,0.2700372456395349,0.1746920421511628,0.17048510174418605,0.05791515261627907,입술로 막다.jpg
작은 아씨들 (컬러판),순정,#f0c99f,#faf1d8,#ba8b65,#765239,#8fcac7,0.33484284156976746,0.33462936046511627,0.19252452761627906,0.09943404796511628,0.03856922238372093,작은 아씨들 (컬러판).jpg
잠겨진 양호실에서 선생님과,순정,#f3dbd5,#e8b5b1,#7f5252,#441e20,#ae7d7a,0.5425417877906977,0.1523065043604651,0.11194494912790698,0.09766442587209302,0.0955423328488372,잠겨진 양호실에서 선생님과.jpg
전남편 말고 그남자,순정,#46322d,#705444,#f2e4e1,#a2846b,#cdb3ae,0.30799600290697676,0.22331667877906977,0.18452125726744187,0.15861101017441862,0.125555050872093,전남편 말고 그남자.jpg
절세의비 그녀를 건드리지 마시오,순정,#f9ecec,#3e1f24,#dd9489,#b02828,#745357,0.4531540697674419,0.18542696220930233,0.13885265261627908,0.11939771075581396,0.10316860465116279,절세의비 그녀를 건드리지 마시오.jpg
정말 싫은 동료와 해버렸습니다 [개정판],순정,#f4d6cb,#eaa193,#d65847,#9584a8,#392b45,0.323976199127907,0.23679414970930232,0.20040879360465116,0.17104560319767442,0.06777525436046512,정말 싫은 동료와 해버렸습니다 [개정판].jpg
제자와 연인 사이,순정,#eadfcf,#fdfcf8,#c7b598,#433e3d,#8c7b67,0.3383875363372093,0.31326217296511627,0.12782067587209303,0.11546875,0.1050608648255814,제자와 연인 사이.jpg
졸업할 때까지 네가 좋아,순정,#fd017c,#232731,#fbe4d2,#ed9e96,#91575f,0.3599500363372093,0.2422202034883721,0.19726925872093024,0.1607903343023256,0.03977016715116279,졸업할 때까지 네가 좋아.jpg
주인님의 예비신부로 환생했습니다,순정,#fbf0ee,#775970,#dfb6b6,#bc7e84,#3b253f,0.359562136627907,0.21767260174418604,0.15519440406976745,0.14625726744186046,0.12131359011627907,주인님의 예비신부로 환생했습니다.jpg
지독한 중독,순정,#fcede1,#b57d83,#863e40,#ecb8aa,#332631,0.37613644622093023,0.19161155523255813,0.17217659883720932,0.17176053779069766,0.08831486191860465,지독한 중독.jpg
집사들의 침묵 [웹툰],순정,#fdf7eb,#d9c2ae,#0d0b0e,#a78c76,#484342,0.6091515261627907,0.1166297238372093,0.10133539244186046,0.08680414244186047,0.08607921511627907,집사들의 침묵 [웹툰].jpg
천왕 마왕 결혼한 이야기,순정,#fbf1ed,#eccac0,#c19b95,#915450,#3b241f,0.4868404796511628,0.2749000726744186,0.0999264171511628,0.07948946220930232,0.05884356831395349,천왕 마왕 결혼한 이야기.jpg
천일의 아내 (개정판),순정,#f6eff0,#dcc7c7,#45393d,#b29698,#7f696d,0.37431776889534885,0.18128361191860465,0.17200399709302325,0.158758175872093,0.11363644622093023,천일의 아내 (개정판).jpg
첫사랑과 정략결혼,순정,#faf5f3,#d4b6ac,#7c7371,#3a332e,#cb6054,0.46382721656976744,0.19105377906976745,0.16729560319767442,0.11088026889534884,0.06694313226744186,첫사랑과 정략결혼.jpg
첫사랑에게,순정,#faf0d3,#fefefc,#7b604d,#2f2720,#b39f7d,0.37126635174418604,0.2558984375,0.15011446220930233,0.1495766715116279,0.07314407703488372,첫사랑에게.jpg
"청소하실, 레옹",순정,#fefdfc,#f1b79b,#d67b62,#453a52,#6f5f77,0.45919876453488373,0.2109502180232558,0.14412881540697675,0.11286337209302326,0.07285882994186046,"청소하실, 레옹.jpg"
총수와의 노예계약,순정,#f85c53,#3d3e47,#f6e8e3,#dcaaa3,#7e6e72,0.7417441860465116,0.08990188953488372,0.0832467296511628,0.05708757267441861,0.028019622093023257,총수와의 노예계약.jpg
키스로 시작하는 마녀 전쟁,순정,#3c3239,#f4e8e5,#b88c97,#d9bbbb,#775c68,0.24886173691860466,0.22311864098837209,0.21049236918604652,0.17482558139534884,0.1427016715116279,키스로 시작하는 마녀 전쟁.jpg
키워서 잡아먹혔다,순정,#f5f5f3,#c6c3d5,#3f2b32,#8f87a9,#cc6b42,0.4022529069767442,0.22214480377906975,0.17217659883720932,0.11226835029069768,0.09115734011627907,키워서 잡아먹혔다.jpg
킬러의 육아법,순정,#f8f0f5,#b1a4e1,#e48aab,#312951,#964173,0.30197583575581394,0.2842550872093023,0.16322220203488372,0.12911791424418603,0.12142896075581396,킬러의 육아법.jpg
타카미야가와 가짜 약혼자,순정,#e7baa0,#fae3db,#7f90aa,#9d736a,#463538,0.26735101744186046,0.20421148255813953,0.1845594113372093,0.17376816860465116,0.17010992005813955,타카미야가와 가짜 약혼자.jpg
태후의 남자들,순정,#fae8e8,#dfb4ae,#594144,#917984,#e26056,0.27022619912790696,0.23391805959302325,0.2144077034883721,0.21389625726744185,0.06755178052325582,태후의 남자들.jpg
"파멸 엔딩뿐인 악역영애, 맛있는 요리를 만들며 지내겠습니다",순정,#eaf4f3,#34303c,#696774,#75bcf7,#e3c0ab,0.49879905523255813,0.21654887354651162,0.1218859011627907,0.08389625726744186,0.07886991279069767,"파멸 엔딩뿐인 악역영애, 맛있는 요리를 만들며 지내겠습니다..jpg"
파멸 예정 연하 남주가 내게 빠졌다,순정,#d6ae8a,#6d6986,#2d243a,#f8e9d4,#aa3e14,0.28970294331395346,0.2377516351744186,0.20776435319767442,0.19553960755813954,0.06924146075581396,파멸 예정 연하 남주가 내게 빠졌다.jpg
퍼스트 키스(1st Kiss),순정,#e6e5e8,#cec5ca,#938e96,#5c595a,#292d2b,0.36504087936046514,0.22520984738372093,0.1855950218023256,0.1405123546511628,0.08364189680232559,퍼스트 키스(1st Kiss).jpg
풀하우스 (FULL HOUSE),순정,#f8f7f4,#c8bcab,#7a786d,#65a7ca,#cb2a35,0.4857022165697674,0.2437436409883721,0.13348564680232558,0.10485828488372093,0.032210210755813956,풀하우스 (FULL HOUSE).jpg
프라이머리 키스,순정,#f6efe6,#444f6d,#dbb191,#aa724e,#fc3496,0.3867514534883721,0.2848637354651163,0.1357231104651163,0.125577761627907,0.06708393895348837,프라이머리 키스.jpg
하늘이 내린 연애,순정,#f9f1ea,#e9c5ba,#aa8b89,#6f555c,#2e1e1e,0.4531340843023256,0.17259265988372094,0.16631722383720932,0.1419640261627907,0.0659920058139535,하늘이 내린 연애.jpg
한 남자와 두 번 결혼하는 법,순정,#cfc4b3,#a79e95,#f0ebe1,#7a6e68,#423b37,0.24910792151162792,0.23141715116279069,0.20209756540697674,0.17648710029069767,0.14089026162790697,한 남자와 두 번 결혼하는 법.jpg
한번 더 해!,순정,#2d2841,#5a4762,#7f7186,#e3d6e5,#b79bb6,0.34444949127906976,0.2247329215116279,0.22178052325581396,0.12479196947674419,0.08424509447674419,한번 더 해!.jpg
향기로운 회사생활,순정,#fbfbfb,#f5e4dd,#5f3f42,#cfb5a7,#97746d,0.5764580305232558,0.19234102470930234,0.0835201671511628,0.07841842296511628,0.06926235465116279,향기로운 회사생활.jpg
혼의록,순정,#c1a3c0,#372130,#ecd8eb,#816987,#9b1f24,0.2539525799418605,0.2505714026162791,0.18835029069767442,0.1656686046511628,0.14145712209302325,혼의록.jpg
환비천하,순정,#494a5d,#282433,#9e829c,#e4d1d8,#ac3c41,0.32808866279069765,0.31875272529069765,0.15347837936046513,0.12540606831395348,0.07427416424418605,환비천하.jpg
환생 테스트 유저가 되었습니다,순정,#f7f5f7,#dcd9e2,#4c4454,#d6b2b2,#947878,0.4554360465116279,0.22159611191860465,0.13582939680232559,0.10829305959302325,0.07884538517441861,환생 테스트 유저가 되었습니다.jpg
환생하여 의녀가 되다,순정,#f7f0ee,#3d3239,#e0c1bb,#bb9381,#835658,0.39901162790697675,0.20764807412790698,0.14020439680232558,0.13988826308139535,0.11324763808139535,환생하여 의녀가 되다.jpg
황후 시뮬레이션,순정,#3f2613,#805c4b,#f4dbd1,#b9958c,#f0ca51,0.36323401162790697,0.20939407703488372,0.19012627180232558,0.17793786337209302,0.0593077761627907,황후 시뮬레이션.jpg
황후마마가 바쁘시네요,순정,#fbe9e1,#eeaea4,#8f6a6b,#51424b,#77caab,0.3410419694767442,0.20816678779069767,0.17001453488372092,0.1671611555232558,0.11361555232558139,황후마마가 바쁘시네요.jpg
황후무덕,순정,#f9f3eb,#543a38,#955b42,#c39d82,#dec9bc,0.29762082122093025,0.2530922965116279,0.21903343023255814,0.13638808139534883,0.09386537063953489,황후무덕.jpg
흑룡연인,순정,#fbe9e0,#eebf9b,#c88073,#3c1a23,#7b4251,0.26684138808139535,0.22192405523255815,0.18621366279069768,0.18533521075581397,0.1396856831395349,흑룡연인.jpg
17층,스릴러,#180101,#c16b4c,#790302,#f2dbae,#4b4f5a,0.35532924107142855,0.20044332837301587,0.1935546875,0.14915984623015874,0.10151289682539683,17층.jpg
The Isle,스릴러,#2f1b24,#634b6c,#3b2837,#68587b,#4d4056,0.29305245535714286,0.27505270337301585,0.21069258432539684,0.1154296875,0.10577256944444445,The Isle.jpg
갈피,스릴러,#534a4b,#73696d,#a6958e,#d2c1b1,#24212c,0.2875093005952381,0.25572606646825397,0.19992559523809525,0.1533482142857143,0.10349082341269841,갈피.jpg
거미줄,스릴러,#010301,#1c201d,#464743,#7b7d7c,#c7c7c8,0.8779389880952381,0.06040736607142857,0.030161830357142858,0.019580853174603174,0.011910962301587301,거미줄.jpg
공포실화[완전판],스릴러,#050707,#334341,#83a79b,#59726e,#b92d2e,0.4328093998015873,0.22780257936507936,0.2117218501984127,0.11684647817460317,0.01081969246031746,공포실화[완전판].jpg
공포학생,스릴러,#c7bec5,#9d9ca7,#61545f,#fcfcfc,#030203,0.3530815972222222,0.2283420138888889,0.1720889136904762,0.1663938492063492,0.08009362599206349,공포학생.jpg
괴기목욕탕 시즌2,스릴러,#a48f75,#1b0604,#616460,#453932,#dbd0c0,0.26243489583333335,0.19837549603174603,0.19802207341269842,0.1806547619047619,0.16051277281746032,괴기목욕탕 시즌2.jpg
괴기목욕탕,스릴러,#a78e79,#7f1c19,#535b3a,#160805,#eae6e5,0.38838975694444444,0.2160311259920635,0.16761842757936507,0.16704489087301588,0.06091579861111111,괴기목욕탕.jpg
괴여름담,스릴러,#030203,#362c36,#c69ba4,#8b6270,#f9f1f2,0.6252759176587301,0.1859157986111111,0.08444010416666667,0.08311631944444445,0.02125186011904762,괴여름담.jpg
그다이,스릴러,#050405,#352733,#5b5255,#f9f7f7,#938086,0.38424789186507935,0.3239676339285714,0.14635726686507936,0.07661520337301587,0.06881200396825397,그다이.jpg
그림자 악어,스릴러,#0d0608,#36373c,#610812,#877c7a,#ebe5e1,0.5725477430555556,0.1673983134920635,0.09468315972222222,0.0876736111111111,0.07769717261904761,그림자 악어.jpg
누나가 죽었다,스릴러,#fcfcfd,#dcdde2,#9c9faa,#212225,#b9bcc5,0.48345734126984125,0.14719742063492064,0.1419735863095238,0.11692708333333333,0.11044456845238096,누나가 죽었다.jpg
도시괴담,스릴러,#0b080a,#292328,#583e46,#d3ccca,#7a6d78,0.36636594742063494,0.28192584325396824,0.16715959821428572,0.11256820436507936,0.07198040674603175,도시괴담.jpg
메시아 콤플렉스,스릴러,#010101,#1d1e20,#2f3033,#666268,#949392,0.6707248263888889,0.15150049603174603,0.07028769841269841,0.06423301091269841,0.04325396825396825,메시아 콤플렉스.jpg
문고리를 잡아 돌려서,스릴러,#efefef,#b1b1b1,#8b8484,#0a0909,#4b4545,0.35104476686507935,0.32021949404761907,0.20221354166666666,0.06978856646825397,0.05673363095238095,문고리를 잡아 돌려서.jpg
본성,스릴러,#1a0d09,#3c2c28,#774f54,#ad8b8a,#ead5cf,0.37490079365079365,0.36005394345238095,0.12450086805555556,0.07929377480158731,0.06125062003968254,본성.jpg
북극의 밤,스릴러,#646c5e,#3c3737,#f5f5e9,#8c9a83,#c7caa9,0.2865513392857143,0.24086991567460317,0.17645089285714285,0.16461123511904763,0.13151661706349208,북극의 밤.jpg
붉은 노을,스릴러,#7e372b,#421d17,#1e0d08,#d62820,#d59690,0.34775235615079364,0.31399429563492065,0.3052889384920635,0.021471974206349206,0.011492435515873017,붉은 노을.jpg
붉은연기,스릴러,#630f09,#d0411f,#27161b,#cca079,#e9dcd8,0.36533358134920635,0.22293836805555556,0.19680679563492062,0.12254464285714285,0.0923766121031746,붉은연기.jpg
빨간 마스크 괴담,스릴러,#ede4c5,#d4a29b,#ae795f,#27180f,#6d4c3c,0.33138640873015873,0.21967695932539683,0.21200086805555557,0.13056485615079366,0.10637090773809524,빨간 마스크 괴담.jpg
성형소설,스릴러,#dad6cb,#817465,#bba794,#060503,#921007,0.31832139756944444,0.25609266493055555,0.20028211805555557,0.1249728732638889,0.10033094618055556,성형소설.jpg
세이브,스릴러,#3c3543,#1b1517,#7b4849,#b06374,#fcfcfc,0.384796626984127,0.29403211805555557,0.1656622023809524,0.13305431547619048,0.022454737103174603,세이브.jpg
수라의 도시,스릴러,#050402,#2b2623,#524140,#7d7c7f,#d6d5d1,0.4352213541666667,0.2300905257936508,0.21257130456349208,0.09654327876984127,0.025573536706349206,수라의 도시.jpg
숨겨진 남자,스릴러,#0f1213,#2a3539,#efe4df,#4f5759,#7c8288,0.4038070436507937,0.2814546130952381,0.12531622023809524,0.12327008928571428,0.06615203373015872,숨겨진 남자.jpg
시리얼,스릴러,#fffffe,#83878d,#4b4c4f,#040404,#d4d4d4,0.4211309523809524,0.19555431547619048,0.19309895833333332,0.1265997023809524,0.06361607142857142,시리얼.jpg
쓰리,스릴러,#080607,#282122,#4a3f40,#c1bfbf,#9c8581,0.31180555555555556,0.2798921130952381,0.2485987103174603,0.08508804563492063,0.0746155753968254,쓰리.jpg
어밴던드 - 버려진 곳에서의 생존일기,스릴러,#090910,#24212f,#524969,#8d6f8c,#e0ced5,0.29825768849206347,0.2914496527777778,0.20763268849206348,0.12583705357142858,0.07682291666666667,어밴던드 - 버려진 곳에서의 생존일기.jpg
어쩌다 생각나는 이야기,스릴러,#2a292c,#08080a,#4d4c4e,#e3d3c7,#8f8f84,0.3058469742063492,0.2630952380952381,0.19862661210317462,0.1351903521825397,0.09724082341269841,어쩌다 생각나는 이야기.jpg
엑시트 레드,스릴러,#535353,#474747,#626262,#737373,#989898,0.30049603174603173,0.23570808531746032,0.2140407986111111,0.14524739583333332,0.10450768849206349,엑시트 레드.jpg
염라의 법칙,스릴러,#050303,#e0d0ce,#999292,#5a5151,#80090a,0.5496806795634921,0.1777250744047619,0.17236793154761904,0.05319010416666667,0.04703621031746032,염라의 법칙.jpg
옴니버스 공포 웹툰 13일의 여름밤,스릴러,#feffff,#a451a0,#694695,#3c0e76,#c3bde2,0.5027374751984127,0.16294952876984126,0.15579427083333333,0.12289186507936507,0.05562686011904762,옴니버스 공포 웹툰 13일의 여름밤.jpg
옴니버스 공포 웹툰 포비아,스릴러,#131521,#363147,#555373,#8382a7,#bcc7e8,0.38859126984126985,0.24591703869047618,0.1783141121031746,0.10438058035714286,0.08279699900793651,옴니버스 공포 웹툰 포비아.jpg
우리집에 왜 왔니,스릴러,#e8332b,#010101,#faf6f6,#9b9494,#4b4343,0.4683221726190476,0.4146205357142857,0.07224392361111111,0.03113219246031746,0.013681175595238095,우리집에 왜 왔니.jpg
잠화랑,스릴러,#f8f8f7,#533d4c,#120a0e,#8a7786,#b8bac0,0.3132874503968254,0.22185639880952382,0.17393973214285716,0.15728856646825398,0.13362785218253967,잠화랑.jpg
재활용불가,스릴러,#faf6f4,#e0c9ba,#73513f,#181514,#bd9182,0.35759548611111114,0.2603515625,0.1574156746031746,0.12505890376984127,0.09957837301587301,재활용불가.jpg
전남친 대 스토커 [개정판],스릴러,#4e4344,#241d1e,#c39f98,#9c6d6b,#e7d4c7,0.3464874751984127,0.3052269345238095,0.1677672371031746,0.11040116567460317,0.0701171875,전남친 대 스토커 [개정판].jpg
좀비인간,스릴러,#8c7f77,#4c4446,#090808,#fefdfd,#a5a3a3,0.4053230406746032,0.32221912202380953,0.09735243055555555,0.09594184027777777,0.07916356646825397,좀비인간.jpg
종의 기원,스릴러,#010202,#fefefe,#81b0c4,#5b7b88,#9fd1e6,0.4293061755952381,0.3015190972222222,0.10147569444444444,0.08559027777777778,0.08210875496031746,종의 기원.jpg
창,스릴러,#04080c,#27455d,#5081a1,#d7e0e7,#a70709,0.4099051339285714,0.3207155257936508,0.20973772321428572,0.03891369047619048,0.020727926587301587,창.jpg
칼데라,스릴러,#736164,#b57e66,#aba3ab,#312123,#fafaf9,0.3649801587301587,0.1944909474206349,0.16615203373015874,0.16367807539682538,0.11069878472222222,칼데라.jpg
폐쇄회로,스릴러,#7a84a1,#040202,#b6b6c2,#5d5c61,#302a30,0.43699544270833335,0.4210015190972222,0.08025173611111111,0.047770182291666664,0.013981119791666666,폐쇄회로.jpg
포코멜리아,스릴러,#0f1418,#4b4651,#d9e3e3,#d2a69c,#74a2b8,0.4171106557377049,0.2092924635701275,0.17269751821493626,0.12274020947176685,0.07815915300546449,포코멜리아.jpg
플래시백,스릴러,#fcfafa,#c8bfc5,#493932,#785d56,#9e898c,0.3246186755952381,0.20515873015873015,0.18683655753968254,0.17900235615079366,0.10438368055555555,플래시백.jpg
호러특급,스릴러,#020001,#f808a6,#fd2cc8,#7c0a48,#f8f7f8,0.6146298363095238,0.1945343501984127,0.1296812996031746,0.04176277281746032,0.019391741071428572,호러특급.jpg
흡혈 좀비,스릴러,#e8e2df,#a1a7ac,#7b757a,#191618,#504649,0.2808872767857143,0.22667720734126984,0.18217385912698414,0.15786210317460317,0.15239955357142856,흡혈 좀비.jpg
흰놈의 낭떠러지,스릴러,#312e30,#1f1616,#707271,#bbbcbc,#934950,0.3290767609126984,0.3255859375,0.19279513888888888,0.07743055555555556,0.07511160714285714,흰놈의 낭떠러지.jpg
10만 년째 오늘을 살던 놈,액션,#703933,#a25e4f,#e4c8ad,#391715,#d28a6e,0.34896802325581394,0.2020485101744186,0.18596111918604652,0.17347292877906978,0.08954941860465117,10만 년째 오늘을 살던 놈.jpg
8만 년 만에 회귀하다,액션,#f2eaed,#6964a0,#413251,#caa4b0,#64b8f1,0.28778343023255815,0.22843840843023255,0.1901753270348837,0.16594930959302326,0.12765352470930233,8만 년 만에 회귀하다.jpg
"Go On, HERO",액션,#7c5a50,#513c36,#1d1613,#b58168,#f3be8b,0.2750899345930233,0.24165061773255814,0.1903733648255814,0.17082122093023255,0.12206486191860465,"Go On, HERO.jpg"
Retry 다시 한번 최강 신선으로,액션,#f3eceb,#b8c1e7,#e0a59a,#956467,#5262bc,0.37073310319767444,0.20136082848837208,0.1998110465116279,0.13616279069767442,0.09193223110465117,Retry 다시 한번 최강 신선으로.jpg
SSS급으로는 부족했다,액션,#f5f4e2,#cfb7a4,#3b3f43,#698780,#b46557,0.30420058139534883,0.2256595203488372,0.20806140988372093,0.15897165697674417,0.10310683139534883,SSS급으로는 부족했다.jpg
강신전기,액션,#31354d,#f6f7f7,#2f628f,#796273,#b1b6c8,0.3048501090116279,0.2857103924418605,0.16848564680232558,0.12696039244186047,0.11399345930232559,강신전기.jpg
강철강,액션,#139bbe,#edece8,#aac3c9,#9e897b,#0a0a0a,0.3296893168604651,0.32155523255813956,0.12513081395348838,0.11916787790697675,0.10445675872093023,강철강.jpg
검계,액션,#220907,#a83c33,#6e201a,#efe1d3,#c2a58e,0.35171875,0.21797238372093022,0.16745548691860465,0.1547719840116279,0.1080813953488372,검계.jpg
검도능천,액션,#bab0ad,#f3f5e9,#7b7775,#342d33,#78c5de,0.32395257994186044,0.3030886627906977,0.16403252180232558,0.1541987645348837,0.05472747093023256,검도능천.jpg
검역창궁,액션,#273145,#395481,#5078af,#767e8d,#d1e5ef,0.2782412790697674,0.2514861918604651,0.25046148255813955,0.11750726744186046,0.10230377906976744,검역창궁.jpg
검은 방주,액션,#4a4745,#1c1d22,#4278d7,#d8cbcc,#83736f,0.2700490552325581,0.25731831395348836,0.21015443313953489,0.15666151889534885,0.10581667877906976,검은 방주.jpg
게임이라는 이 세계에 구원을,액션,#6f3d4f,#251219,#a68090,#5b6cce,#dcd4d8,0.3228125,0.24205668604651162,0.18576762354651163,0.14194494912790698,0.10741824127906976,게임이라는 이 세계에 구원을.jpg
고교음양사,액션,#1a1b58,#f2def1,#454ca5,#b6a4dc,#ac5d83,0.41210392441860466,0.2176062863372093,0.1786655159883721,0.10650981104651162,0.08511446220930233,고교음양사.jpg
고등패왕전기,액션,#343336,#100f10,#a6756c,#63595c,#e9e0d8,0.47737463662790697,0.33955032703488375,0.08155795784883721,0.08123455668604651,0.020282521802325582,고등패왕전기.jpg
